Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-07 09:30:00-04:00,161.75,162.17999267578125,160.4600067138672,161.48500061035156,3773494,0.0,0.0
2024-08-07 10:00:00-04:00,161.5,162.42999267578125,161.10000610351562,162.06500244140625,1757363,0.0,0.0
2024-08-07 10:30:00-04:00,162.08999633789062,162.97999572753906,161.7220001220703,162.14999389648438,1538843,0.0,0.0
2024-08-07 11:00:00-04:00,162.14999389648438,162.19000244140625,161.0,161.19000244140625,1429486,0.0,0.0
2024-08-07 11:30:00-04:00,161.18499755859375,161.25999450683594,160.0800018310547,161.02000427246094,1215192,0.0,0.0
2024-08-07 12:00:00-04:00,161.02999877929688,161.15499877929688,160.16000366210938,160.97500610351562,1278126,0.0,0.0
2024-08-07 12:30:00-04:00,160.9499969482422,161.19000244140625,160.02000427246094,160.02499389648438,958860,0.0,0.0
2024-08-07 13:00:00-04:00,160.00999450683594,160.19000244140625,158.83999633789062,159.29469299316406,1343086,0.0,0.0
2024-08-07 13:30:00-04:00,159.2899932861328,159.97500610351562,158.75,158.9499969482422,1128502,0.0,0.0
2024-08-07 14:00:00-04:00,158.91000366210938,159.13999938964844,158.47999572753906,159.0399932861328,1152810,0.0,0.0
2024-08-07 14:30:00-04:00,159.02000427246094,159.42999267578125,158.57000732421875,159.32000732421875,1036038,0.0,0.0
2024-08-07 15:00:00-04:00,159.33999633789062,160.07960510253906,159.19000244140625,159.60000610351562,1268215,0.0,0.0
2024-08-07 15:30:00-04:00,159.57000732421875,160.0500030517578,158.55999755859375,158.92999267578125,2726709,0.0,0.0
2024-08-08 09:30:00-04:00,160.50999450683594,161.36000061035156,160.2100067138672,161.2097930908203,2459772,0.0,0.0
2024-08-08 10:00:00-04:00,161.22000122070312,162.86000061035156,161.02999877929688,162.82000732421875,1704154,0.0,0.0
2024-08-08 10:30:00-04:00,162.81500244140625,163.0695037841797,162.36000061035156,162.66000366210938,1359733,0.0,0.0
2024-08-08 11:00:00-04:00,162.67999267578125,162.97999572753906,162.11000061035156,162.7100067138672,1128366,0.0,0.0
2024-08-08 11:30:00-04:00,162.7100067138672,163.0500030517578,162.39999389648438,162.97999572753906,775503,0.0,0.0
2024-08-08 12:00:00-04:00,162.97999572753906,163.69000244140625,162.9600067138672,163.32000732421875,989879,0.0,0.0
2024-08-08 12:30:00-04:00,163.32009887695312,163.36000061035156,162.75999450683594,163.13499450683594,1005532,0.0,0.0
2024-08-08 13:00:00-04:00,163.13999938964844,163.4499969482422,162.75999450683594,163.41000366210938,957169,0.0,0.0
2024-08-08 13:30:00-04:00,163.44000244140625,163.52999877929688,163.00999450683594,163.15499877929688,633755,0.0,0.0
2024-08-08 14:00:00-04:00,163.14500427246094,163.52000427246094,162.9499969482422,163.00999450683594,788196,0.0,0.0
2024-08-08 14:30:00-04:00,163.0198974609375,163.15499877929688,162.77999877929688,163.02999877929688,731924,0.0,0.0
2024-08-08 15:00:00-04:00,163.02000427246094,163.51499938964844,162.27999877929688,162.35000610351562,1267778,0.0,0.0
